iter	RMSE
0	2154.837395
1	2069.158704
2	1985.783147
3	1914.167892
4	1850.322865
5	1786.598652
6	1727.430209
7	1674.445628
8	1624.552257
9	1587.303437
10	1541.948599
11	1509.218696
12	1465.050498
13	1430.844636
14	1398.993051
15	1365.636969
16	1334.144331
17	1307.102068
18	1283.522736
19	1262.295267
20	1238.326316
21	1216.749699
22	1197.342804
23	1171.606454
24	1151.385739
25	1135.903615
26	1120.24635
27	1105.975598
28	1094.07337
29	1080.346725
30	1067.980695
31	1057.427918
32	1043.818225
33	1031.488691
34	1012.326015
35	1002.340378
36	984.2007796
37	974.0291551
38	962.0721628
39	952.2502851
40	944.1204326
41	936.0462383
42	921.4735651
43	915.1940849
44	903.5897344
45	895.402518
46	888.7365604
47	882.376482
48	875.7588193
49	868.4468714
50	855.5675361
51	846.9165812
52	841.3934246
53	834.0319415
54	825.2908449
55	820.0946882
56	814.7772795
57	810.2619314
58	796.8871033
59	784.3824868
60	773.3622735
61	767.2533621
62	760.4562606
63	754.5045681
64	748.2671412
65	741.6515511
66	735.987313
67	730.0582901
68	719.8792671
69	710.6476252
70	705.3947474
71	699.968354
72	695.1851006
73	689.7934697
74	682.2531978
75	674.0278773
76	669.6222504
77	665.2433346
78	658.7856923
79	654.7968071
80	647.4541899
81	643.5459982
82	637.6050548
83	633.1172173
84	629.4006106
85	624.6651107
86	617.5536648
87	613.5727332
88	609.838588
89	607.7180362
90	603.9645839
91	601.6202458
92	597.9534061
93	593.1803235
94	586.3639572
95	583.7766405
96	579.1770159
97	575.0280989
98	571.5491615
99	567.5105086
100	564.9269446
101	561.4468607
102	558.1275621
103	554.3216281
104	548.725178
105	546.3095715
106	543.0617339
107	539.1315234
108	535.4808747
109	532.1967174
110	529.3655936
111	524.9591327
112	520.2479071
113	518.3895416
114	515.3835487
115	510.0617837
116	505.6555609
117	502.7873042
118	500.0010409
119	496.6913084
120	493.6732863
121	490.1627023
122	487.1071625
123	485.4973662
124	482.5106414
125	480.442697
126	477.2026083
127	474.3132143
128	472.0144505
129	470.3915356
130	468.2694863
131	464.3492387
132	462.8177844
133	460.6798291
134	456.0918569
135	453.5022059
136	451.4520912
137	447.5309832
138	445.2382508
139	442.2527726
140	439.2973838
141	435.772297
142	433.0855485
143	431.0295757
144	428.649333
145	426.663104
146	425.0642098
147	421.9988082
148	418.9686722
149	415.9940256
150	414.5069808
151	412.8216896
152	411.4328574
153	408.9708827
154	407.3164801
155	405.1546405
156	403.2372173
157	401.2836284
158	399.7981829
159	396.3894268
160	395.1637597
161	393.3133197
162	391.6332523
163	390.4697105
164	388.9096629
165	388.0712256
166	386.6618197
167	385.6527164
168	384.0285628
169	383.0291373
170	381.7793499
171	378.8133972
172	376.5001216
173	375.6067481
174	374.3060889
175	373.0718674
176	371.8478334
177	369.5127729
178	368.2116555
179	366.172519
180	365.4878452
181	364.1650522
182	363.5586073
183	362.4546858
184	360.0812393
185	359.0455465
186	357.777608
187	357.35929
188	356.3152419
189	355.010302
190	354.0512607
191	352.9468131
192	351.9554784
193	350.0619073
194	349.0159324
195	347.8718282
196	347.4125509
197	346.2806643
198	344.2062296
199	343.3354913
200	341.3825367
201	340.2806392
202	339.3601946
203	337.8724388
204	335.5205503
205	334.6893492
206	333.8030553
207	332.443875
208	331.2382093
209	329.7060682
210	328.8535311
211	328.3377909
212	326.1874709
213	325.698908
214	324.5766153
215	323.7533096
216	322.5501761
217	322.0699156
218	321.313187
219	320.8731399
220	318.5117646
221	316.6980703
222	315.6704984
223	314.8727852
224	313.6563935
225	313.053066
226	311.3878464
227	311.0603926
228	308.9832317
229	307.0253492
230	306.2994979
231	305.695989
232	304.6215326
233	303.2271804
234	301.7211614
235	301.2559959
236	300.5233473
237	299.9641521
238	298.515926
239	297.1125793
240	296.4687941
241	296.2052146
242	295.5555044
243	293.8957469
244	293.2592463
245	291.9923229
246	291.3630332
247	291.0216718
248	290.7111626
249	289.1808601
250	288.553336
251	287.3525435
252	285.9424969
253	285.2841134
254	284.5154674
255	283.2089951
256	282.4871888
257	282.1164601
258	280.9950534
259	280.3883687
260	279.4844186
261	278.7555338
262	277.4451426
263	276.6383706
264	275.6844275
265	274.5284702
266	273.4321566
267	272.8220602
268	272.1417128
269	271.1061546
270	270.8709172
271	270.2836893
272	269.2491487
273	268.6896674
274	268.0567365
275	267.2414254
276	266.7804583
277	265.8867736
278	265.5799744
279	265.0700725
280	264.4063585
281	263.5603963
282	262.6311413
283	262.1235008
284	261.3197388
285	260.7311039
286	259.7262271
287	259.3537895
288	258.495146
289	257.596787
290	257.2731172
291	256.5043989
292	256.1180504
293	255.5680197
294	254.9312772
295	254.195067
296	253.8208174
297	253.0056777
298	252.5261327
299	251.7033494
300	250.8166655
301	250.12707
302	249.6315538
303	249.3519962
304	248.7214624
305	248.3929288
306	247.6337238
307	246.9219749
308	246.057741
309	245.4209277
310	244.8007992
311	244.0804963
312	243.2505957
313	242.9643515
314	242.1517527
315	241.9765646
316	241.4762858
317	241.0237775
318	240.4522513
319	239.9920263
320	239.6756406
321	238.8624969
322	238.191035
323	237.4283167
324	236.8636514
325	236.6617876
326	235.9375772
327	235.4221214
328	234.9061641
329	234.4027752
330	233.7916372
331	233.3933279
332	233.0607216
333	232.7776706
334	232.1570865
335	231.8543711
336	231.4223186
337	230.7974462
338	230.3263207
339	229.7816766
340	229.2959849
341	229.022258
342	228.618227
343	227.9296625
344	227.685636
345	227.0722432
346	226.8181396
347	226.5613986
348	226.2093637
349	225.7541785
350	225.3692135
351	224.6118165
352	224.2959705
353	224.069108
354	223.5368913
355	223.2916191
356	222.9638669
357	222.4881267
358	222.1088752
359	221.8887077
360	221.5100486
361	220.9932675
362	220.6734731
363	220.4001926
364	220.0356741
365	219.7968128
366	219.3083775
367	219.0054554
368	218.7155907
369	218.5354819
370	218.3567267
371	218.0693323
372	217.5869817
373	217.1173902
374	216.7642207
375	216.3729893
376	216.0524309
377	215.6073391
378	215.4380325
379	215.147165
380	214.7222964
381	214.2748147
382	213.9146258
383	213.5686949
384	213.0400254
385	212.697648
386	212.4927019
387	211.7013423
388	211.3524713
389	210.9489062
390	210.607554
391	210.3305096
392	210.0540123
393	209.818743
394	209.5223352
395	209.1573521
396	208.6713719
397	208.162618
398	207.5465319
399	207.3404033
400	206.9812471
401	206.4967596
402	206.3773249
403	206.1121903
404	205.9427984
405	205.5967962
406	205.4253673
407	205.1168858
408	204.9262762
409	204.7530714
410	204.418095
411	204.1367151
412	203.70233
413	203.4588665
414	203.1758111
415	202.6309118
416	202.14491
417	201.657552
418	201.4661575
419	201.3653609
420	201.1662453
421	200.8293157
422	200.5402876
423	200.3054544
424	200.0224265
425	199.8885218
426	199.7972084
427	199.5570797
428	199.1703352
429	198.882528
430	198.6146407
431	198.2694276
432	198.0154843
433	197.7695498
434	197.4547986
435	197.1951944
436	197.0980403
437	196.9936278
438	196.7703624
439	196.540846
440	196.2602572
441	196.1082492
442	195.7996209
443	195.1603098
444	194.9138086
445	194.6453938
446	194.4307319
447	194.2038059
448	194.1107691
449	193.7068797
450	193.4957266
451	193.2130069
452	192.8251638
453	192.5514622
454	192.3259533
455	192.1784491
456	191.9560844
457	191.7234835
458	191.1915099
459	191.0693841
460	190.8812035
461	190.7522577
462	190.5650603
463	190.3028025
464	190.0872343
465	190.0068367
466	189.8976604
467	189.6806003
468	189.5834655
469	189.3998687
470	188.8743528
471	188.6397077
472	188.4297833
473	188.3114383
474	188.177565
475	188.1062174
476	187.8861445
477	187.8113965
478	187.6214105
479	187.4555641
480	187.2512704
481	186.9622764
482	186.7216734
483	186.2580041
484	185.8778935
485	185.5218667
486	185.1366795
487	184.9235663
488	184.8082501
489	184.6342684
490	184.4784912
491	184.1117471
492	183.9424126
493	183.8858355
494	183.5522518
495	183.3488144
496	183.0305748
497	182.9266048
498	182.7373482
499	182.3346705
500	181.8958501
501	181.7030267
502	181.3585107
503	181.2632821
504	181.167106
505	180.9804141
506	180.7675754
507	180.6785262
508	180.4553377
509	180.2737397
510	180.1319936
511	179.9853451
512	179.6860259
513	179.5172725
514	179.4107556
515	179.224443
516	178.9920281
517	178.7753014
518	178.6462509
519	178.5191166
520	178.4393848
521	178.1205399
522	177.927182
523	177.7354306
524	177.6161487
525	177.2115977
526	177.1284627
527	177.0205658
528	176.875722
529	176.6584468
530	176.607344
531	176.4905679
532	176.2918977
533	176.1991718
534	176.0889513
535	176.0159838
536	175.6088883
537	175.2626315
538	175.087899
539	174.6446732
540	174.497455
541	174.4038076
542	174.1352728
543	173.8313108
544	173.6729168
545	173.4965515
546	173.3436041
547	173.2099689
548	173.1415589
549	172.8349365
550	172.5727045
551	172.3264872
552	172.1698013
553	172.0012342
554	171.9536943
555	171.8819612
556	171.7987615
557	171.6772819
558	171.5717966
559	171.3442134
560	171.0956015
561	170.9137262
562	170.7939281
563	170.7211304
564	170.5769145
565	170.4617209
566	170.2135918
567	170.1339912
568	169.8767291
569	169.742323
570	169.6763102
571	169.5511424
572	169.386724
573	169.2197512
574	169.0737783
575	168.9692618
576	168.693197
577	168.6548696
578	168.505933
579	168.351849
580	168.1868396
581	168.0538425
582	167.5378703
583	167.3070507
584	166.9041644
585	166.7752804
586	166.5533642
587	166.4290419
588	166.2601157
589	166.0920429
590	166.0308515
591	165.8798866
592	165.6617104
593	165.5122393
594	165.3644305
595	165.3090016
596	165.0028149
597	164.6570473
598	164.5615062
599	164.3606272
600	164.305342
601	164.1110539
602	163.7293714
603	163.6131932
604	163.162094
605	163.0496404
606	162.958371
607	162.8406547
608	162.5614299
609	162.4008523
610	162.300994
611	162.2530586
612	162.1324858
613	161.9888354
614	161.8615244
615	161.7137508
616	161.5256994
617	161.3765931
618	161.2625395
619	161.1066252
620	160.9588063
621	160.7731572
622	160.6210932
623	160.2841933
624	160.1177386
625	160.0372566
626	159.8569706
627	159.753139
628	159.6751517
629	159.3942387
630	159.3389692
631	159.2765022
632	158.9512158
633	158.675586
634	158.5556496
635	158.4457518
636	158.401364
637	158.2777214
638	158.1635073
639	158.1101173
640	157.9754288
641	157.8142983
642	157.7126575
643	157.602911
644	157.4971602
645	157.2931087
646	157.173943
647	156.7908143
648	156.7329523
649	156.60447
650	156.5004382
651	156.4066117
652	156.2983297
653	156.2618587
654	156.1083693
655	155.9502498
656	155.8414732
657	155.8067388
658	155.69766
659	155.4959699
660	155.3863293
661	155.3244747
662	155.2749464
663	155.1245251
664	154.7660928
665	154.6403513
666	154.4979124
667	154.3414927
668	154.3144682
669	154.1799974
670	154.1305556
671	153.8650806
672	153.7312679
673	153.6726039
674	153.5422473
675	153.4607158
676	153.4144731
677	153.1698243
678	153.0994857
679	152.7604005
680	152.6316297
681	152.4718334
682	152.4144098
683	152.2907255
684	152.0224504
685	151.9270556
686	151.8378715
687	151.6269262
688	151.5912648
689	151.5589718
690	151.4523841
691	151.413987
692	151.3583912
693	151.2273116
694	151.129613
695	151.0805685
696	150.8226693
697	150.6098332
698	150.5465656
699	150.3686743
700	150.336746
701	150.2609845
702	150.0877019
703	149.9802602
704	149.8419747
705	149.8007845
706	149.7553107
707	149.5543032
708	149.4712039
709	149.3425871
710	149.3127484
711	149.2161118
712	149.1269689
713	149.0213208
714	148.9554787
715	148.7428139
716	148.6991244
717	148.6224158
718	148.5449546
719	148.4941342
720	148.3584435
721	148.1450046
722	148.070385
723	147.9185958
724	147.8643458
725	147.6360558
726	147.4006142
727	147.2892219
728	147.2058871
729	147.0611318
730	146.9209806
731	146.8674207
732	146.7628184
733	146.6925017
734	146.4008871
735	146.3023687
736	146.1775405
737	146.0071593
738	145.9283812
739	145.8466396
740	145.7336155
741	145.7053994
742	145.614431
743	145.5775388
744	145.5051692
745	145.4766523
746	145.3689698
747	145.2730178
748	145.2116087
749	145.0736641
750	144.9582553
751	144.8697263
752	144.8331501
753	144.7458302
754	144.7245073
755	144.6838862
756	144.6233283
757	144.4317528
758	144.3184954
759	144.1252988
760	144.0887425
761	144.0317077
762	143.9691325
763	143.8222187
764	143.6895182
765	143.5547757
766	143.4912094
767	143.4058374
768	143.3619267
769	143.301645
770	143.1864515
771	142.968835
772	142.8345667
773	142.8023713
774	142.5433634
775	142.4587189
776	142.4205412
777	142.3850003
778	142.3192445
779	142.0768462
780	142.0021442
781	141.9643369
782	141.6528439
783	141.456116
784	141.387865
785	141.2766027
786	141.1194024
787	141.0985765
788	140.9620944
789	140.8557392
790	140.8226609
791	140.7940326
792	140.760551
793	140.6912936
794	140.6184417
795	140.5043094
796	140.4591493
797	140.4095125
798	140.325316
799	140.2915954
800	140.217247
801	140.0911296
802	139.8670188
803	139.7481537
804	139.5336043
805	139.4579173
806	139.3638392
807	139.334459
808	139.2590663
809	139.1964353
810	139.1798419
811	139.1045579
812	139.0544347
813	138.9951405
814	138.9191855
815	138.6596777
816	138.6344587
817	138.5478066
818	138.4819835
819	138.3018643
820	138.2503576
821	138.1616056
822	138.0982638
823	138.0404003
824	137.9499883
825	137.8933304
826	137.8145638
827	137.7428209
828	137.6834194
829	137.6073893
830	137.5764027
831	137.5368864
832	137.5069222
833	137.392079
834	137.3774965
835	137.2521215
836	137.1637269
837	137.1402248
838	137.0513931
839	136.987682
840	136.8407516
841	136.67674
842	136.5245369
843	136.503528
844	136.4027151
845	136.359992
846	136.3049038
847	136.2584567
848	136.2102873
849	135.9412041
850	135.8839826
851	135.647791
852	135.6062109
853	135.497747
854	135.4441637
855	135.3830723
856	135.3314474
857	135.2762866
858	135.2513927
859	135.1706541
860	135.107958
861	135.0244082
862	134.9830531
863	134.9522638
864	134.9351059
865	134.8906828
866	134.8532847
867	134.652073
868	134.596676
869	134.2492196
870	134.1992001
871	134.1839072
872	134.1432569
873	134.0931598
874	134.0660889
875	134.0277762
876	134.0096769
877	133.8167013
878	133.6381927
879	133.4863888
880	133.4400891
881	133.3851891
882	133.3553889
883	133.3068642
884	133.1253554
885	133.0045568
886	132.9278741
887	132.8107665
888	132.7944308
889	132.6877184
890	132.6602982
891	132.6012736
892	132.4856991
893	132.4243412
894	132.3024496
895	132.1871853
896	132.1585656
897	132.105918
898	131.9457642
899	131.8411303
900	131.815703
901	131.6931474
902	131.6448069
903	131.5498404
904	131.4656149
905	131.4469168
906	131.4287957
907	131.4041548
908	131.3636028
909	131.2886505
910	131.2590549
911	131.2147016
912	131.1347611
913	130.8037368
914	130.7812046
915	130.7104529
916	130.6874082
917	130.6419411
918	130.5923424
919	130.5439419
920	130.4895994
921	130.4511355
922	130.3689878
923	130.3249523
924	130.2285892
925	129.9872908
926	129.8913671
927	129.7082387
928	129.6765228
929	129.6169657
930	129.5674164
931	129.506802
932	129.462138
933	129.4218274
934	129.4103238
935	129.3670794
936	129.3108772
937	129.2145476
938	129.201891
939	129.1466042
940	128.8351558
