iter	Passed	Remaining
0	2	2199
1	4	2158
2	6	2145
3	8	2126
4	10	2107
5	12	2094
6	14	2091
7	16	2100
8	19	2100
9	20	2058
10	22	2059
11	24	2056
12	27	2061
13	29	2062
14	31	2081
15	33	2082
16	36	2103
17	38	2116
18	41	2123
19	43	2140
20	45	2138
21	48	2140
22	50	2140
23	52	2137
24	54	2133
25	56	2129
26	59	2126
27	61	2126
28	63	2129
29	65	2123
30	67	2118
31	69	2116
32	72	2110
33	74	2109
34	76	2106
35	78	2103
36	80	2102
37	83	2107
38	85	2105
39	87	2096
40	89	2098
41	91	2088
42	93	2078
43	95	2073
44	97	2064
45	99	2057
46	101	2054
47	103	2050
48	105	2041
49	107	2035
50	109	2031
51	111	2024
52	112	2016
53	115	2016
54	117	2010
55	118	2004
56	120	2001
57	122	1996
58	125	1994
59	127	1991
60	129	1992
61	131	1989
62	133	1982
63	135	1976
64	136	1968
65	138	1961
66	140	1955
67	142	1948
68	143	1942
69	145	1937
70	147	1936
71	149	1933
72	151	1926
73	153	1920
74	155	1913
75	156	1908
76	158	1901
77	160	1895
78	162	1889
79	163	1884
80	165	1879
81	167	1875
82	169	1870
83	171	1865
84	172	1860
85	174	1856
86	176	1851
87	178	1846
88	179	1841
89	181	1835
90	183	1830
91	185	1827
92	186	1823
93	188	1819
94	190	1814
95	192	1809
96	193	1805
97	195	1802
98	197	1797
99	199	1793
100	201	1789
101	202	1785
102	204	1781
103	206	1777
104	208	1773
105	209	1770
106	211	1766
107	213	1762
108	215	1759
109	216	1755
110	218	1751
111	220	1747
112	222	1743
113	223	1739
114	225	1735
115	227	1732
116	229	1728
117	230	1725
118	232	1721
119	234	1718
120	236	1714
121	237	1710
122	239	1707
123	241	1703
124	243	1701
125	244	1698
126	246	1695
127	248	1692
128	250	1690
129	252	1688
130	254	1686
131	256	1683
132	257	1680
133	259	1676
134	261	1674
135	262	1670
136	264	1667
137	266	1665
138	268	1662
139	270	1658
140	271	1655
141	273	1652
142	275	1649
143	276	1645
144	278	1642
145	280	1640
146	282	1636
147	283	1634
148	285	1631
149	287	1628
150	289	1626
151	291	1623
152	292	1621
153	294	1618
154	296	1615
155	298	1612
156	300	1611
157	301	1608
158	303	1605
159	305	1603
160	307	1600
161	308	1597
162	310	1595
163	312	1592
164	314	1589
165	315	1587
166	317	1584
167	319	1582
168	321	1580
169	323	1577
170	324	1574
171	326	1572
172	328	1569
173	330	1567
174	332	1565
175	333	1563
176	335	1560
177	337	1558
178	339	1555
179	340	1553
180	342	1550
181	344	1548
182	346	1545
183	348	1544
184	350	1543
185	352	1541
186	354	1539
187	356	1537
188	357	1535
189	359	1534
190	361	1531
191	363	1529
192	365	1527
193	367	1525
194	368	1522
195	370	1520
196	372	1517
197	374	1515
198	375	1512
199	377	1510
200	379	1507
201	380	1505
202	382	1502
203	384	1499
204	386	1497
205	387	1495
206	389	1492
207	391	1490
208	393	1487
209	394	1485
210	396	1482
211	398	1480
212	399	1477
213	401	1475
214	403	1472
215	405	1470
216	407	1469
217	409	1467
218	410	1464
219	412	1462
220	414	1459
221	416	1457
222	417	1455
223	419	1453
224	421	1451
225	423	1449
226	424	1446
227	426	1445
